epoch,step,task_1/learning_curve/train/acc,task_1/learning_curve/train/loss_cls,task_1/learning_curve/val/acc,task_1/learning_curve/val/loss_cls,task_1/train/acc,task_1/train/acc_batch,task_1/train/loss,task_1/train/loss_batch,task_1/train/loss_cls,task_1/train/loss_cls_batch,task_2/learning_curve/train/acc,task_2/learning_curve/train/loss_cls,task_2/learning_curve/val/acc,task_2/learning_curve/val/loss_cls,task_2/train/acc,task_2/train/acc_batch,task_2/train/loss,task_2/train/loss_batch,task_2/train/loss_cls,task_2/train/loss_cls_batch,task_3/learning_curve/train/acc,task_3/learning_curve/train/loss_cls,task_3/learning_curve/val/acc,task_3/learning_curve/val/loss_cls,task_3/train/acc,task_3/train/acc_batch,task_3/train/loss,task_3/train/loss_batch,task_3/train/loss_cls,task_3/train/loss_cls_batch,task_4/learning_curve/train/acc,task_4/learning_curve/train/loss_cls,task_4/learning_curve/val/acc,task_4/learning_curve/val/loss_cls,task_4/train/acc,task_4/train/acc_batch,task_4/train/loss,task_4/train/loss_batch,task_4/train/loss_cls,task_4/train/loss_cls_batch,task_5/learning_curve/train/acc,task_5/learning_curve/train/loss_cls,task_5/learning_curve/val/acc,task_5/learning_curve/val/loss_cls,task_5/train/acc,task_5/train/acc_batch,task_5/train/loss,task_5/train/loss_batch,task_5/train/loss_cls,task_5/train/loss_cls_batch
0,59,,,,,,,,,,,,,,,0.8127604126930237,0.96875,0.4334200620651245,0.14683178067207336,0.38601943850517273,0.09978077560663223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,,,,,,,,,,,,,,0.848437488079071,0.984375,0.3648088574409485,0.11027476191520691,0.317507803440094,0.06331638991832733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,0.8729687333106995,0.984375,0.3189837634563446,0.10517670214176178,0.2717570960521698,0.05826862156391144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,119,,,,,,,,,,,,,,,0.8884114623069763,0.953125,0.28990161418914795,0.11316454410552979,0.2427314817905426,0.06632353365421295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,139,,,,,,,,,,,,,,,0.899218738079071,0.96875,0.2687802314758301,0.1921454817056656,0.22169379889965057,0.14572516083717346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,159,,,,,,,,,,,,,,,0.9090820550918579,0.984375,0.2500264644622803,0.09769198298454285,0.20302434265613556,0.05128473415970802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,169,,,,,,,,,,,,,0.9367559552192688,0.17964978516101837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,169,,,,,,,,,,,0.9136029481887817,0.19484205543994904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,179,,,,,,,,,,,,,,,0.901562511920929,0.984375,0.2709534764289856,0.10912206768989563,0.22310161590576172,0.06268756836652756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,0.9453125,0.96875,0.17239350080490112,0.09801279008388519,0.12569303810596466,0.052131954580545425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,219,,,,,,,,,,,,,,,0.9587500095367432,1.0,0.14546965062618256,0.06512784957885742,0.09917573630809784,0.01957855001091957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,239,,,,,,,,,,,,,,,0.9642857313156128,0.984375,0.13548018038272858,0.09234558045864105,0.08941604942083359,0.046882521361112595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,259,,,,,,,,,,,,,,,0.9678819179534912,1.0,0.1291467547416687,0.06001720577478409,0.08321735262870789,0.014561695046722889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279,,,,,,,,,,,,,,,0.9698863625526428,0.984375,0.12506216764450073,0.10026957839727402,0.0792190283536911,0.05481478199362755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,0.970432698726654,0.984375,0.12502442300319672,0.10391656309366226,0.0792410597205162,0.058461982756853104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,319,,,,,,,,,,,,,,,0.9723958373069763,0.9375,0.12089977413415909,0.15631267428398132,0.07516025006771088,0.11085812747478485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
